sku	series	finish	height	width	catalog_page	price_per_foot
24301	Black 06	Matt Black	1 7/8	2 1/2	H-3	7
24401	Black 06	Matt Black	1 3/8	3	H-3	10
24601	Black 06	Matt Black	8	2	H-3	7
24501	Black 06	Matt Black	8	2 3/4	H-3	6
24701	Black 06	Matt Black	1 7/8	1	H-3	8
24801	Matt Black	Matt Black	1 1/2	4	H-27	6
24901	Matt Black	Matt Black	2 5/8	13/16	H-27	6
25001	Matt Black	Matt Black	3 1/8	1 1/8	H-27	7
25101	Matt Black	Matt Black	1 7/8	1 1/2	H-27	9
26952	Poems	Matt Color	8	4	H-35	14
26954	Poems	Matt Color	8	4	H-35	14
26955	Poems	Matt Color	8	4	H-35	14
26956	Poems	Matt Color	8	4	H-35	14
26957	Poems	Matt Color	8	4	H-35	14
26958	Poems	Matt Color	8	4	H-35	14
26956	Poems	Matt Color	8	4	H-35	14
26957	Poems	Matt Color	8	4	H-35	14
26958	Poems	Matt Color	8	4	H-35	14
26959	Poems	Matt Color	8	4	H-35	14
26960	Poems	Matt Color	8	4	H-35	14
26961	Poems	Matt Color	8	4	H-35	14
26963	Poems	Matt Color	8	4	H-35	14
26964	Poems	Matt Color	8	4	H-35	14
26965	Poems	Matt Color	8	4	H-35	14
26966	Poems	Matt Color	8	4	H-35	14
26967	Poems	Matt Color	8	4	H-35	14
26968	Poems	Matt Color	8	4	H-35	14
26969	Poems	Matt Color	8	4	H-35	14
26970	Poems	Matt Color	8	4	H-35	14
26971	Poems	Matt Color	8	4	H-35	14
22057	Poems	Matt Color	8	1 1/4	H-35	14
22060	Poems	Matt Color	8	1 1/4	H-35	14
22070	Poems	Matt Color	8	1 1/4	H-35	14
62320	Armour	Gold and Silver	1 3/8	1 1/4	G-29	15
62330	Armour	Gold and Silver	1 3/8	1 1/4	G-29	15
62340	Armour	Gold and Silver	1 3/8	1 1/4	G-29	15
62350	Armour	Gold and Silver	1 3/8	1 1/4	G-29	15
63320	Armour	Gold and Silver	1 1/4	1 3/4	G-29	15
63330	Armour	Gold and Silver	1 1/4	2 3/4	G-29	15
63340	Armour	Gold and Silver	1 1/4	3 3/4	G-29	15
63350	Armour	Gold and Silver	1 1/4	4 3/4	G-29	15